52,1,30,1,43,30,1,43,28
1,45,4,1,4,43,28,2,1
4,53,30,1,1,59,2,4,43
1,54,13,13,1,4,45,51,1
47,45,30,1,4,3,13,43,1
1,46,1,1,56,4,4,1,23
1,60,1,48,54,16,1,1,53
1,1,24,7,1,4,1,1,56
1,7,1,1,45,4,52,1,1
53,28,54,56,16,50,4,59,47
1,4,54,1,1,16,1,1,47
52,55,7,7,2,47,16,1,40
59,1,53,1,38,54,17,1,24
52,16,1,30,52,57,1,1,45
59,53,47,56,7,1,54,1,47
30,1,28,4,28,1,2,52,7
2,1,7,40,1,30,28,28,12
55,28,59,8,1,59,2,54,7
55,53,43,1,28,1,29,53,47
13,28,53,1,16,1,7,54,1
16,4,1,2,2,7,1,53,2
2,1,1,2,7,1,2,28,4
53,2,4,54,1,1,56,46,12
60,52,1,57,1,1,47,47,7
1,54,16,59,45,58,33,1,1
4,45,7,3,29,22,47,1,45
16,59,2,42,2,1,45,16,1
47,52,45,52,59,7,1,52,53
48,4,2,56,46,1,59,48,47
45,1,1,17,54,56,1,1,54
16,47,1,30,56,52,17,1,1
56,4,28,54,1,55,59,31,47
56,13,58,16,4,30,59,45,4
43,45,1,47,52,42,45,50,1
45,45,56,28,1,40,4,47,60
1,2,4,1,50,1,59,56,1
56,55,2,60,30,47,30,53,4
1,1,54,55,45,2,7,55,47
4,53,4,51,47,1,45,52,45
1,30,1,47,1,7,13,52,52
13,45,43,1,2,16,54,2,30
47,56,1,47,16,48,54,54,56
45,30,28,1,55,47,47,2,1
1,1,1,51,45,1,54,1,28
1,1,2,30,8,57,56,1,1
22,4,44,56,59,59,52,1,7
30,47,13,56,48,54,55,29,59
51,35,55,55,54,30,60,1,43
1,45,56,57,45,30,1,45,1
2,4,52,2,1,51,17,1,1
56,56,30,16,47,27,1,30,52
38,47,42,53,47,45,1,52,7
30,7,51,1,53,13,1,54,46
4,23,2,1,4,59,45,1,29
1,55,53,1,47,43,7,8,2
1,48,30,16,1,1,55,46,2
56,4,52,47,1,4,48,56,1
1,59,1,1,1,16,4,7,7
1,1,28,45,13,1,1,1,45
16,54,45,1,7,7,1,52,1
1,47,8,1,56,8,50,2,43
57,53,54,54,16,60,7,59,51
7,2,47,1,1,1,1,56,45
56,56,1,1,1,46,45,1,16
56,1,52,1,16,45,4,54,47
1,1,1,2,1,42,7,46,40
22,1,1,28,53,59,1,52,47
1,1,1,1,30,50,4,52,52
54,2,55,54,1,1,1,56,54
52,45,53,1,1,54,48,52,45
52,55,35,1,40,17,1,56,54
45,59,4,1,4,1,1,28,45
1,1,22,1,13,8,2,52,16
7,4,1,1,1,47,1,43,7
55,1,1,1,1,1,47,4,28
48,60,1,45,45,1,47,50,40
1,2,1,30,1,53,43,1,54
58,16,1,1,1,42,45,1,57
52,54,45,50,45,7,52,59,59
35,30,53,43,54,4,54,54,56
28,1,4,54,1,7,1,54,46
55,1,47,30,45,54,45,45,43
1,45,1,1,13,45,1,1,1
38,52,38,56,45,30,13,54,56
45,30,1,47,16,48,54,58,2
30,4,1,56,47,30,54,23,30
55,16,51,54,1,28,56,52,1
4,1,2,1,54,4,5,1,7
47,57,7,28,52,52,13,2,1
7,8,28,47,59,45,28,52,47
45,55,58,28,52,1,53,4,7
38,56,43,47,45,7,40,1,47
45,55,53,55,46,4,43,54,1
38,55,28,52,2,7,48,54,16
1,2,16,16,45,1,59,1,1
1,1,1,46,55,1,1,7,2
1,1,4,56,1,45,59,47,1
1,4,43,30,59,30,46,1,7
28,53,45,47,1,52,50,1,54
13,56,56,53,50,1,53,4,45
56,55,54,56,53,47,52,59,1
55,52,45,1,1,53,47,45,7
51,60,13,4,50,4,4,53,1
54,28,4,55,59,1,54,53,1
1,1,4,52,2,30,1,1,1
1,4,4,1,4,42,52,1,1
1,53,46,2,30,59,19,1,45
1,53,1,4,4,1,35,4,1
42,1,53,51,22,1,23,54,1
2,1,2,57,1,1,4,1,1
4,7,28,7,42,52,1,28,30
4,59,59,1,1,1,1,13,47
1,43,1,48,52,13,54,1,60
43,55,53,58,1,45,16,52,54
16,1,56,47,45,45,47,28,60
47,51,7,16,1,4,23,54,4
